a2432419.274545
Berlin   24/03/2024 19:27:45 24/03/2024 19:27:45 0045 0013.384714 0052.542598 00.0 00.0
0000016 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 16380 1 0000 3.75 00000.o 0 0 01 000 16 000016 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 000016 0.500 S2A0
1 1 1 16380 1 0000 3.75 00000.o 0 0 00 000 00 000016 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 000016 3.1746 S2P0
1 5 0 16380 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
5.13323	0.00517099	0	0	0
5.13275	0.00541723	0	0	0
5.14515	0.0045554	0	0	0
5.14467	0.00578658	0	0	0
5.13037	0.00886456	0	0	0
5.13085	0.00948015	0	0	0
5.12512	0.00701777	0	0	0
5.13895	0.00751025	0	0	0
5.1504	0.00664842	0	0	0
5.13943	0.00529411	0	0	0
5.13514	0.00504787	0	0	0
5.1504	0.00406292	0	0	0
5.14038	0.00504787	0	0	0
5.13848	0.00615594	0	0	0
5.12036	0.0078796	0	0	0
5.12369	0.00627906	0	0	0
5.13275	0.00701777	0	0	0
5.14086	0.00529411	0	0	0
5.14324	0.00701777	0	0	0
5.14801	0.00763337	0	0	0
5.15707	0.00529411	0	0	0
5.14563	0.00467852	0	0	0
5.14038	0.00751025	0	0	0
5.15278	0.0065253	0	0	0
5.14658	0.0084952	0	0	0
5.13418	0.00738713	0	0	0
5.13275	0.00714089	0	0	0
5.12989	0.00861832	0	0	0
5.1318	0.00566347	0	0	0
5.13323	0.00554035	0	0	0
5.14134	0.00874144	0	0	0
5.14372	0.00824896	0	0	0
5.13466	0.0059097	0	0	0
5.12703	0.0100957	0	0	0
5.12512	0.00664842	0	0	0
5.13466	0.00603282	0	0	0
5.14563	0.00726401	0	0	0
5.14754	0.00529411	0	0	0
5.13991	0.00677154	0	0	0
5.13657	0.0078796	0	0	0
5.14801	0.00566347	0	0	0
5.14706	0.00517099	0	0	0
5.15421	0.00837208	0	0	0
5.16327	0.00886456	0	0	0
5.14849	0.00812584	0	0	0
5.14134	0.0078796	0	0	0
5.15373	0.00861832	0	0	0
5.15421	0.0084952	0	0	0
5.14706	0.00911079	0	0	0
5.14754	0.0110807	0	0	0
5.14467	0.00677154	0	0	0
5.138	0.0059097	0	0	0
5.13085	0.00677154	0	0	0
5.12989	0.00578658	0	0	0
5.12751	0.00467852	0	0	0
5.1442	0.00603282	0	0	0
5.12083	0.00615594	0	0	0
5.13037	0.00738713	0	0	0
5.13943	0.00517099	0	0	0
5.13705	0.0078796	0	0	0
5.12512	0.00677154	0	0	0
5.13561	0.00812584	0	0	0
5.14086	0.00984951	0	0	0
5.13991	0.00726401	0	0	0
5.14992	0.00578658	0	0	0
5.14611	0.00751025	0	0	0
5.14181	0.00578658	0	0	0
5.13514	0.00689465	0	0	0
5.13561	0.00861832	0	0	0
5.14038	0.0065253	0	0	0
5.14086	0.00775649	0	0	0
5.12989	0.00751025	0	0	0
5.14467	0.0078796	0	0	0
5.14467	0.0084952	0	0	0
5.14611	0.00763337	0	0	0
5.13418	0.00775649	0	0	0
5.13848	0.00812584	0	0	0
5.13466	0.00701777	0	0	0
5.14181	0.00640218	0	0	0
5.14277	0.00800272	0	0	0
5.13275	0.00763337	0	0	0
5.14038	0.00701777	0	0	0
5.14897	0.00984951	0	0	0
5.14038	0.00898767	0	0	0
5.14038	0.00701777	0	0	0
5.14658	0.00960327	0	0	0
5.14086	0.00554035	0	0	0
5.13752	0.00627906	0	0	0
5.15087	0.00689465	0	0	0
5.15135	0.00627906	0	0	0
5.14277	0.00751025	0	0	0
5.13561	0.00874144	0	0	0
5.14229	0.0078796	0	0	0
