a2432519.263449
chiang m 25/03/2024 19:26:15 25/03/2024 19:26:34 0045 0018.854056 0090.000000 00.0 00.0
0000247 0020 0000000 0020 03 0000000 0020 0000000 0020
1 0 1 01000 1 0357 3.75 00532.o 0 0 01 000 16 000247 0.500 BT0 "<PMT1_10.49.234.234_2055:PMT 2> "
1 2 1 02000 1 0357 3.75 00532.o 0 0 01 000 16 000247 0.500 S2A0 "<PMT1_10.49.234.234_2055:PMT 2> "
1 5 0 01000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .o Analog 0 	532.000 .o Analog StErr 0 	0.000 .o Overflow Info 0 
5.10164	0.00177833	0
5.10399	0.00185317	0
5.10909	0.00184726	0
5.10356	0.0017547	0
5.09568	0.00176061	0
5.09361	0.00176455	0
5.09617	0.00182757	0
5.09908	0.00193785	0
5.10498	0.00198512	0
5.10362	0.00181181	0
5.10334	0.00199496	0
5.10414	0.0019477	0
5.10034	0.00195755	0
5.09988	0.00194376	0
5.09787	0.00173107	0
5.09506	0.00172713	0
5.09515	0.0017547	0
5.09797	0.0018768	0
5.09979	0.00170744	0
5.10559	0.0017803	0
5.10559	0.0018512	0
5.10353	0.00174092	0
5.10081	0.00196345	0
5.10158	0.00190437	0
5.09926	0.00178424	0
5.09902	0.00190831	0
5.10173	0.00198118	0
5.10309	0.00176258	0
5.10541	0.0018512	0
5.1051	0.00183545	0
5.1043	0.00190437	0
5.10776	0.0017803	0
5.10482	0.00193785	0
5.10198	0.00202253	0
5.10059	0.00189059	0
5.10105	0.00179606	0
5.10037	0.00193391	0
5.10031	0.00185908	0
5.10019	0.00184923	0
5.10037	0.00181969	0
5.09979	0.00191028	0
5.10105	0.00195361	0
5.10195	0.00178227	0
5.09939	0.00195952	0
5.09997	0.00171925	0
5.09812	0.00188665	0
5.09809	0.00181378	0
5.09951	0.00185711	0
5.10167	0.00196345	0
5.10615	0.00190831	0
5.10328	0.00187483	0
5.10383	0.0018768	0
5.10532	0.00181772	0
5.10278	0.00180787	0
5.10071	0.00193785	0
5.1022	0.0019989	0
5.10112	0.00187877	0
5.10065	0.00195558	0
5.10124	0.00189847	0
5.10417	0.00177243	0
5.10337	0.00191422	0
5.10232	0.00188468	0
5.09806	0.00183545	0
5.09855	0.00181575	0
5.10112	0.00180197	0
5.10068	0.0020186	0
5.0996	0.00193982	0
5.09556	0.00192407	0
5.09781	0.00187483	0
5.10186	0.00171925	0
5.10115	0.00189453	0
5.10142	0.00186302	0
5.10504	0.00207768	0
5.1051	0.00187089	0
5.10303	0.00169759	0
5.10353	0.00167199	0
5.10448	0.00197921	0
5.10331	0.00211509	0
5.10034	0.00188074	0
5.10328	0.00185908	0
5.10071	0.00181969	0
5.10343	0.00189059	0
5.10275	0.0018	0
5.10473	0.00185711	0
5.10266	0.00171728	0
5.09775	0.00173107	0
5.09843	0.00167987	0
5.09855	0.00174682	0
5.09744	0.00167002	0
5.10108	0.00188665	0
5.10183	0.00178621	0
5.09902	0.00174092	0
5.10053	0.00193194	0
5.10207	0.00178424	0
5.09969	0.00180394	0
5.10214	0.00183151	0
5.10108	0.00176849	0
5.09898	0.00169562	0
5.10044	0.00179212	0
5.10365	0.00174289	0
5.10618	0.00167987	0
5.10584	0.00174485	0
5.10254	0.00178818	0
5.10331	0.00184529	0
5.10291	0.00181575	0
5.10201	0.00187877	0
5.10127	0.0017803	0
5.10164	0.00191225	0
5.10312	0.00183938	0
5.09966	0.00179212	0
5.09797	0.00182954	0
5.09852	0.00182757	0
5.09654	0.00179015	0
5.09932	0.00168971	0
5.09966	0.00175667	0
5.09889	0.00182757	0
5.1001	0.00185711	0
5.10013	0.00182757	0
5.0979	0.00191028	0
5.10016	0.00172516	0
5.10115	0.00189059	0
5.10041	0.00181575	0
5.10266	0.00187877	0
5.10424	0.00181969	0
5.10451	0.0018768	0
5.10247	0.00186105	0
5.10349	0.00181181	0
5.10414	0.00188271	0
5.10479	0.0018256	0
5.10241	0.00187483	0
5.09864	0.00203238	0
5.10325	0.0018965	0
5.1021	0.00172319	0
5.0979	0.0020186	0
5.09719	0.00195164	0
5.09991	0.00164836	0
5.09716	0.00190043	0
5.09722	0.00189847	0
5.09837	0.00164442	0
5.10198	0.00177046	0
5.10037	0.00174289	0
5.09877	0.0018512	0
5.09886	0.00191225	0
5.09954	0.00189256	0
5.1022	0.00185514	0
5.10285	0.00188468	0
5.10269	0.0018768	0
5.10285	0.00193982	0
5.10247	0.00189059	0
5.10133	0.00183348	0
5.10504	0.00184923	0
5.10414	0.00181772	0
5.10458	0.00180787	0
5.10297	0.00175864	0
5.10275	0.0016779	0
5.10454	0.00181772	0
5.10356	0.00175273	0
5.10149	0.00181772	0
5.10019	0.0019221	0
